Replicate	Genotype	Infection	RFW
1	Col-0	Mock	1.029822105
2	Col-0	Mock	0.87588818
3	Col-0	Mock	1.045588922
4	Col-0	Mock	1.048700794
5	Col-0	Mock	0.815270936
6	Col-0	Mock	1.153940887
7	Col-0	Mock	0.801724138
8	Col-0	Mock	0.913793103
9	Col-0	Mock	0.9408867
10	Col-0	Mock	0.868226601
11	Col-0	Mock	1.32635468
12	Col-0	Mock	0.996305419
13	Col-0	Mock	1.183497537
14	Col-0	Mock	1.040247678
15	Col-0	Mock	0.913931889
16	Col-0	Mock	1.129411765
17	Col-0	Mock	0.908359133
18	Col-0	Mock	0.902786378
19	Col-0	Mock	0.949226006
20	Col-0	Mock	0.93622291
21	Col-0	Mock	1.367182663
22	Col-0	Mock	0.852631579
23	Col-0	Mock	1.202072539
24	Col-0	Mock	1.462081959
25	Col-0	Mock	0.810174282
26	Col-0	Mock	0.949599623
27	Col-0	Mock	1.03626943
28	Col-0	Mock	0.829015544
29	Col-0	Mock	0.798869524
30	Col-0	Mock	0.911917098
31	Col-0	Mock	1.119926762
32	Col-0	Mock	1.510527922
33	Col-0	Mock	1.049740616
34	Col-0	Mock	0.741531889
35	Col-0	Mock	1.083307904
36	Col-0	Mock	0.784253891
37	Col-0	Mock	0.790357034
38	Col-0	Mock	0.698809887
39	Col-0	Mock	1.547146781
40	Col-0	Mock	0.674397315
1	uba1	Mock	0.303926145
2	uba1	Mock	0.323012292
3	uba1	Mock	0.349152015
4	uba1	Mock	0.269073181
5	uba1	Mock	0.156403941
6	uba1	Mock	0.208128079
7	uba1	Mock	0.230295567
8	uba1	Mock	0.128078818
9	uba1	Mock	0.189655172
10	uba1	Mock	0.237684729
11	uba1	Mock	0.168719212
12	uba1	Mock	0.269704433
13	uba1	Mock	0.171182266
14	uba1	Mock	0.211764706
15	uba1	Mock	0.146749226
16	uba1	Mock	0.224767802
17	uba1	Mock	0.187616099
18	uba1	Mock	0.178328173
19	uba1	Mock	0.193188854
20	uba1	Mock	0.19504644
21	uba1	Mock	0.148606811
22	uba1	Mock	0.176470588
1	uba1	CaMV	0.099579897
2	uba1	CaMV	0.154141383
3	uba1	CaMV	0.167833619
4	uba1	CaMV	0.179451273
1	uba1	CMV	0.071780509
2	uba1	CMV	0.124889788
3	uba1	CMV	0.080701208
4	uba1	CMV	0.103936518
5	uba1	CMV	0.110837438
6	uba1	CMV	0.149014778
7	uba1	CMV	0.261083744
8	uba1	CMV	0.125615764
9	uba1	CMV	0.06873065
10	uba1	CMV	0.06130031
11	uba1	CMV	0.092879257
12	uba1	CMV	0.089164087
13	uba1	CMV	0.06501548
1	uba1	TuMV	0.072610342
2	uba1	TuMV	0.076759504
3	uba1	TuMV	0.05290182
4	uba1	TuMV	0.058710648
5	uba1	TuMV	0.131773399
6	uba1	TuMV	0.126847291
7	uba1	TuMV	0.115763547
8	uba1	TuMV	0.189655172
9	uba1	TuMV	0.098452012
10	uba1	TuMV	0.157894737
11	uba1	TuMV	0.055727554
12	uba1	TuMV	0.104024768
13	uba1	TuMV	0.104024768
14	uba1	TuMV	0.102167183
15	uba1	TuMV	0.102167183
16	uba1	TuMV	0.117027864
1	ubc35/36	Mock	0.562807882
2	ubc35/36	Mock	0.562807882
3	ubc35/36	Mock	0.600985222
4	ubc35/36	Mock	0.561576355
5	ubc35/36	Mock	0.72044335
6	ubc35/36	Mock	0.458128079
7	ubc35/36	Mock	0.923221856
8	ubc35/36	Mock	0.644371173
9	ubc35/36	Mock	0.768723504
10	ubc35/36	Mock	0.972209138
11	ubc35/36	Mock	0.919453603
12	ubc35/36	Mock	0.866698069
13	ubc35/36	Mock	1.11163448
14	ubc35/36	Mock	0.68582195
15	ubc35/36	Mock	0.847856806
16	ubc35/36	Mock	0.918523039
17	ubc35/36	Mock	1.022276472
18	ubc35/36	Mock	0.906316753
19	ubc35/36	Mock	1.162648764
20	ubc35/36	Mock	1.03753433
21	ubc35/36	Mock	0.833079036
22	ubc35/36	Mock	0.421116875
23	ubc35/36	Mock	0.52792188
24	ubc35/36	Mock	0.433323161
1	ubc35/36	CaMV	0.141625616
2	ubc35/36	CaMV	0.121921182
3	ubc35/36	CaMV	0.161330049
4	ubc35/36	CaMV	0.103448276
5	ubc35/36	CaMV	0.194581281
6	ubc35/36	CaMV	0.163793103
7	ubc35/36	CaMV	0.158866995
8	ubc35/36	CaMV	0.112068966
9	ubc35/36	CaMV	0.110837438
10	ubc35/36	CaMV	0.286387188
11	ubc35/36	CaMV	0.550164861
12	ubc35/36	CaMV	0.396704303
13	ubc35/36	CaMV	0.201403723
14	ubc35/36	CaMV	0.119011291
15	ubc35/36	CaMV	0.17699115
16	ubc35/36	CaMV	0.198352151
17	ubc35/36	CaMV	0.238022582
18	ubc35/36	CaMV	0.158681721
19	ubc35/36	CaMV	0.183094294
1	ubc35/36	CMV	0.278325123
2	ubc35/36	CMV	0.077586207
3	ubc35/36	CMV	0.134236453
4	ubc35/36	CMV	0.131773399
5	ubc35/36	CMV	0.181034483
6	ubc35/36	CMV	0.107142857
7	ubc35/36	CMV	0.102216749
8	ubc35/36	CMV	0.116995074
9	ubc35/36	CMV	0.199717381
10	ubc35/36	CMV	0.282618935
11	ubc35/36	CMV	0.35044748
12	ubc35/36	CMV	0.489872821
13	ubc35/36	CMV	0.263777673
14	ubc35/36	CMV	0.35044748
15	ubc35/36	CMV	0.286387188
16	ubc35/36	CMV	0.297691945
17	ubc35/36	CMV	0.35044748
18	ubc35/36	CMV	0.283796155
19	ubc35/36	CMV	0.29295087
20	ubc35/36	CMV	0.683552029
1	ubc35/36	TuMV	0.13546798
2	ubc35/36	TuMV	0.163793103
3	ubc35/36	TuMV	0.070197044
4	ubc35/36	TuMV	0.316533208
5	ubc35/36	TuMV	0.124352332
6	ubc35/36	TuMV	0.097974564
7	ubc35/36	TuMV	0.109279322
8	ubc35/36	TuMV	0.101742817
9	ubc35/36	TuMV	0.139425341
10	ubc35/36	TuMV	0.086669807
11	ubc35/36	TuMV	0.241168158
12	ubc35/36	TuMV	0.327837965
13	ubc35/36	TuMV	0.119011291
14	ubc35/36	TuMV	0.100701861
15	ubc35/36	TuMV	0.167836436
16	ubc35/36	TuMV	0.09765029
17	ubc35/36	TuMV	0.067134574
18	ubc35/36	TuMV	0.079340861
19	ubc35/36	TuMV	0.125114434
1	Col-0	CaMV	0.421139982
2	Col-0	CaMV	0.466988227
3	Col-0	CaMV	0.531507702
4	Col-0	CaMV	0.466158394
5	Col-0	CaMV	0.416256158
6	Col-0	CaMV	0.618226601
7	Col-0	CaMV	0.492610837
8	Col-0	CaMV	0.621921182
9	Col-0	CaMV	0.57635468
10	Col-0	CaMV	0.455665025
11	Col-0	CaMV	0.248768473
12	Col-0	CaMV	0.488916256
13	Col-0	CaMV	0.516009852
14	Col-0	CaMV	0.358513932
15	Col-0	CaMV	0.440247678
16	Col-0	CaMV	0.256346749
17	Col-0	CaMV	0.442105263
18	Col-0	CaMV	0.419814241
19	Col-0	CaMV	0.382662539
20	Col-0	CaMV	0.577708978
21	Col-0	CaMV	0.304643963
22	Col-0	CaMV	0.302786378
23	Col-0	CaMV	1.009891663
24	Col-0	CaMV	1.315120113
25	Col-0	CaMV	0.768723504
26	Col-0	CaMV	0.613365883
27	Col-0	CaMV	0.503509307
28	Col-0	CaMV	0.37229173
29	Col-0	CaMV	0.262435154
30	Col-0	CaMV	0.549282881
31	Col-0	CaMV	0.445529448
32	Col-0	CaMV	0.62557217
33	Col-0	CaMV	0.906316753
34	Col-0	CaMV	1.312175771
1	Col-0	CMV	0.210155075
2	Col-0	CMV	0.246875162
3	Col-0	CMV	0.284217624
4	Col-0	CMV	0.115761631
5	Col-0	CMV	0.392857143
6	Col-0	CMV	0.245073892
7	Col-0	CMV	0.343596059
8	Col-0	CMV	0.399014778
9	Col-0	CMV	0.450738916
10	Col-0	CMV	0.397783251
11	Col-0	CMV	0.389162562
12	Col-0	CMV	0.214285714
13	Col-0	CMV	0.321428571
14	Col-0	CMV	0.295356037
15	Col-0	CMV	0.211764706
16	Col-0	CMV	0.308359133
17	Col-0	CMV	0.382662539
18	Col-0	CMV	0.295356037
19	Col-0	CMV	0.410526316
20	Col-0	CMV	0.289783282
21	Col-0	CMV	0.629298163
22	Col-0	CMV	0.651907678
23	Col-0	CMV	0.572774376
24	Col-0	CMV	0.489872821
25	Col-0	CMV	0.474799812
26	Col-0	CMV	0.648139425
27	Col-0	CMV	0.614225153
28	Col-0	CMV	0.580310881
29	Col-0	CMV	0.693358455
30	Col-0	CMV	0.692706744
31	Col-0	CMV	0.784253891
32	Col-0	CMV	0.659139457
33	Col-0	CMV	0.427220018
34	Col-0	CMV	0.427220018
35	Col-0	CMV	0.506560879
1	Col-0	TuMV	0.132773196
2	Col-0	TuMV	0.149369846
3	Col-0	TuMV	0.101654479
4	Col-0	TuMV	0.192936051
5	Col-0	TuMV	0.204433498
6	Col-0	TuMV	0.251231527
7	Col-0	TuMV	0.407635468
8	Col-0	TuMV	0.365763547
9	Col-0	TuMV	0.39408867
10	Col-0	TuMV	0.4408867
11	Col-0	TuMV	0.280495356
12	Col-0	TuMV	0.299071207
13	Col-0	TuMV	0.297213622
14	Col-0	TuMV	0.375232198
15	Col-0	TuMV	0.33622291
16	Col-0	TuMV	0.382662539
17	Col-0	TuMV	0.354798762
18	Col-0	TuMV	0.29015544
19	Col-0	TuMV	0.29015544
20	Col-0	TuMV	0.286387188
21	Col-0	TuMV	0.241168158
22	Col-0	TuMV	0.282618935
23	Col-0	TuMV	0.237399906
24	Col-0	TuMV	0.226095148
25	Col-0	TuMV	0.39566651
26	Col-0	TuMV	0.211022138
27	Col-0	TuMV	0.149527006
28	Col-0	TuMV	0.158681721
29	Col-0	TuMV	0.170888007
30	Col-0	TuMV	0.259383583
31	Col-0	TuMV	0.268538297
32	Col-0	TuMV	0.170888007
33	Col-0	TuMV	0.112908148
34	Col-0	TuMV	0.201403723
35	Col-0	TuMV	0.109856576
